insurance_num,age,sum_assured
225,24,437000
226,25,349000
227,24,482000
228,37,447000
229,25,327000
230,32,262000
231,36,321000
232,22,371000
233,35,225000
234,37,395000
235,37,276000
236,26,301000
237,32,323000
238,24,366000
239,22,435000
240,21,215000
241,40,402000
242,26,392000
243,23,469000
244,21,478000
245,20,397000
246,26,294000
247,28,266000
248,22,408000
249,36,235000
250,24,496000
251,30,265000
252,34,326000
253,26,207000
254,29,373000
255,39,273000
256,25,457000
257,35,350000
258,34,340000
259,26,270000
260,26,447000
261,39,453000
262,20,341000
263,32,415000
264,30,376000
265,38,252000
266,30,331000
267,30,427000
268,28,263000
269,39,321000
270,24,346000
271,20,318000
272,21,471000
273,37,357000
274,24,466000
275,32,318000
276,39,262000
277,39,387000
278,33,318000
279,31,476000
280,23,489000
281,28,301000
282,38,228000
283,39,224000
284,24,343000
285,25,282000
286,36,283000
287,25,413000
288,32,310000
289,21,254000
290,22,340000
291,33,425000
292,21,368000
293,37,294000
294,36,320000
295,39,208000
296,27,217000
297,29,232000
298,40,418000
299,27,281000
300,28,201000
301,37,434000
302,36,309000
303,27,287000
304,22,421000
305,38,359000
306,20,254000
307,40,324000
308,25,487000
309,26,331000
310,28,298000
311,36,457000
312,23,283000
313,26,218000
314,25,310000
315,40,345000
316,30,202000
317,35,487000
318,36,226000
319,31,321000
320,20,313000
321,39,200000
322,38,406000
323,21,384000
324,29,435000
325,26,394000
326,34,397000
327,24,442000
328,39,421000
329,24,474000
330,30,378000
331,25,335000
332,39,223000
333,21,485000
334,35,401000
335,32,322000
336,33,207000
337,21,219000
338,25,451000
339,36,429000
340,29,372000
341,31,260000
342,23,248000
343,26,446000
344,36,323000
345,24,413000
346,39,366000
347,29,345000
348,32,445000
349,22,246000
350,30,218000
351,40,383000
352,26,322000
353,32,279000
354,27,330000
355,31,359000
356,27,459000
357,26,432000
358,39,343000
359,39,227000
360,36,490000
361,35,273000
362,39,388000
363,20,280000
364,21,230000
365,21,325000
366,39,346000
367,36,475000
368,26,357000
369,36,432000
370,34,493000
371,27,335000
372,25,257000
373,36,205000
374,34,296000
375,23,311000
376,34,463000
377,33,446000
378,35,200000
379,34,233000
380,20,208000
381,27,484000
382,25,355000
383,40,247000
384,21,260000
385,37,387000
386,34,442000
387,23,326000
388,29,287000
389,24,210000
390,31,333000
391,26,338000
392,38,309000
393,30,275000
394,24,235000
395,40,223000
396,37,210000
397,36,474000
398,25,397000
399,32,352000
400,40,300000
401,33,298000
402,20,462000
403,34,451000
404,20,465000
405,29,454000
406,33,374000
407,22,388000
408,28,419000
409,39,269000
410,34,341000
411,23,430000
412,40,236000
413,38,320000
414,25,278000
415,25,252000
416,20,272000
417,32,243000
418,25,240000
419,27,452000
420,27,390000
421,28,281000
422,36,384000
423,25,465000
424,29,376000
425,40,396000
426,27,274000
427,28,345000
428,40,337000
429,28,456000
430,30,463000
431,21,275000
432,28,403000
433,24,309000
434,40,321000
435,22,349000
436,22,495000
437,22,440000
438,37,389000
439,33,304000
440,38,341000
441,37,390000
442,31,429000
443,26,341000
444,35,308000
445,21,340000
446,36,493000
447,40,240000
448,25,277000
449,37,420000
450,32,464000
451,39,216000
452,27,470000
453,38,229000
454,32,438000
455,32,393000
456,23,271000
457,28,262000
458,29,363000
459,22,364000
460,30,484000
461,20,282000
462,23,396000
463,37,384000
464,20,389000
465,27,369000
466,39,331000
467,35,467000
468,27,324000
469,37,379000
470,27,336000
471,22,334000
472,34,399000
473,36,403000
474,35,367000
475,31,471000
476,32,457000
477,26,257000
478,28,479000
479,30,309000
480,37,445000
481,21,357000
482,23,434000
483,23,261000
484,22,474000
485,25,211000
486,39,322000
487,40,339000
488,24,326000
489,40,214000
490,22,339000
491,39,287000
492,40,365000
493,29,349000
494,30,275000
495,31,304000
496,39,241000
497,27,470000
498,33,377000
499,38,273000
500,25,288000
501,23,255000
502,30,481000
503,39,280000
504,37,395000
505,24,399000
506,21,470000
507,36,436000
508,30,284000
509,40,410000
510,38,402000
511,25,338000
512,40,333000
513,29,253000
514,27,203000
515,34,282000
516,23,251000
517,29,348000
518,28,244000
519,32,207000
520,36,205000
521,36,211000
522,36,289000
523,22,334000
524,37,344000
525,30,308000
526,37,360000
527,27,440000
528,24,278000
529,26,378000
530,36,429000
531,28,318000
532,26,317000
533,26,481000
534,28,294000
535,38,445000
536,36,289000
537,25,346000
538,29,470000
539,34,403000
540,23,330000
541,34,456000
542,25,332000
543,24,292000
544,35,368000
545,38,234000
546,26,211000
547,27,445000
548,27,493000
549,38,422000
550,22,433000
551,27,364000
552,23,470000
553,30,464000
554,35,401000
555,23,362000
556,31,328000
557,34,298000
558,40,257000
559,37,425000
560,40,213000
561,22,436000
562,38,277000
563,30,381000
564,40,483000
565,29,335000
566,22,313000
567,21,352000
568,32,345000
569,28,289000
570,22,468000
571,39,340000
572,32,205000
573,26,250000
574,39,201000
575,38,221000
576,21,278000
577,38,274000
578,33,293000
579,27,213000
580,33,474000
581,24,417000
582,32,368000
583,30,409000
584,33,279000
585,31,377000
586,23,424000
587,27,357000
588,20,302000
589,29,392000
590,33,492000
591,23,291000
592,26,315000
593,33,276000
594,31,353000
595,32,260000
596,31,320000
597,36,248000
598,24,321000
599,33,342000
600,40,363000
601,35,429000
602,24,209000
603,27,446000
604,39,373000
605,24,324000
606,36,492000
607,36,417000
608,20,228000
609,34,474000
610,39,276000
611,39,482000
612,38,320000
613,25,382000
614,40,228000
615,33,478000
616,20,349000
617,20,400000
618,26,255000
619,32,297000
620,21,307000
621,28,421000
622,37,376000
623,37,357000
624,30,492000
625,31,443000
626,26,427000
627,31,392000
628,37,367000
629,35,275000
630,23,264000
631,40,368000
632,20,312000
633,21,462000
634,23,305000
635,24,282000
636,33,228000
637,37,242000
638,24,363000
639,25,413000
640,24,323000
641,39,253000
642,24,258000
643,20,309000
644,35,384000
645,21,300000
646,24,434000
647,37,232000
648,35,232000
649,31,214000
650,39,386000
651,21,406000
652,27,264000
653,29,305000
654,25,420000
655,27,347000
656,22,417000
657,25,273000
658,31,315000
659,31,272000
660,22,326000
661,35,376000
662,34,276000
663,38,423000
664,22,203000
665,38,203000
666,29,301000
667,34,282000
668,28,346000
669,36,476000
670,40,338000
671,21,235000
672,35,335000
673,33,388000
674,22,299000
675,33,379000
676,33,452000
677,22,324000
678,38,364000
679,35,356000
680,38,382000
681,39,257000
682,20,377000
683,37,218000
684,24,373000
685,27,266000
686,38,250000
687,29,201000
688,24,451000
689,23,226000
690,21,446000
691,24,400000
692,31,371000
693,36,332000
694,22,230000
695,25,475000
696,22,275000
697,38,404000
698,33,262000
699,22,258000
700,38,496000
701,21,489000
702,38,397000
703,26,411000
704,30,329000
705,36,358000
706,30,496000
707,32,283000
708,28,219000
709,20,412000
710,37,202000
711,32,350000
712,21,243000
713,24,361000
714,35,263000
715,35,205000
716,26,217000
717,22,245000
718,25,429000
719,20,494000
720,35,446000
721,27,223000
722,36,210000
723,33,432000
724,39,406000
725,28,402000
726,21,280000
727,37,356000
728,31,214000
729,28,310000
730,35,311000
731,30,423000
732,40,490000
733,33,460000
734,29,400000
735,20,420000
736,28,478000
737,25,389000
738,21,369000
739,29,398000
740,28,202000
741,40,442000
742,27,313000
743,33,414000
744,29,231000
745,33,262000
746,27,366000
747,25,324000
748,40,317000
749,36,461000
750,21,383000
751,36,207000
752,27,497000
753,35,423000
754,26,214000
755,29,228000
756,39,412000
757,32,417000
758,27,255000
759,32,285000
760,35,398000
761,33,405000
762,20,391000
763,25,482000
764,22,479000
765,23,220000
766,29,453000
767,28,313000
768,35,395000
769,27,280000
770,34,384000
771,32,289000
772,36,310000
773,28,384000
774,38,456000
775,34,214000
776,20,421000
777,21,431000
778,23,364000
779,35,230000
780,28,321000
781,27,360000
782,27,472000
783,28,340000
784,31,234000
785,32,229000
786,20,455000
787,33,467000
788,31,352000
789,22,462000
790,37,451000
791,36,425000
792,40,343000
793,30,314000
794,32,322000
795,24,359000
796,36,494000
797,20,391000
798,40,302000
799,25,499000
800,37,282000
801,26,410000
802,34,463000
803,26,265000
804,33,266000
805,32,440000
806,39,334000
807,26,343000
808,39,221000
809,33,298000
810,21,295000
811,28,491000
812,29,473000
813,26,358000
814,27,312000
815,22,362000
816,24,214000
817,26,393000
818,37,212000
819,29,291000
820,29,313000
821,25,413000
822,33,364000
823,20,322000
824,29,413000
825,25,443000
826,26,473000
827,29,251000
828,25,493000
829,24,293000
830,35,436000
831,20,343000
832,34,487000
833,36,294000
834,27,425000
835,40,388000
836,36,426000
837,30,306000
838,21,452000
839,26,316000
840,39,218000
841,30,460000
842,28,250000
843,38,380000
844,30,270000
845,27,421000
846,38,254000
847,40,439000
848,24,321000
849,40,432000
850,35,205000
851,31,417000
852,33,221000
853,22,347000
854,39,343000
855,35,441000
856,30,381000
857,40,213000
858,20,222000
859,31,222000
860,27,491000
861,30,327000
862,33,221000
863,20,498000
864,31,438000
865,35,227000
866,21,258000
867,30,423000
868,33,483000
869,34,386000
870,33,392000
871,27,452000
872,30,423000
873,30,452000
874,28,266000
875,24,296000
876,37,474000
877,23,253000
878,31,240000
879,28,255000
880,23,393000
881,34,259000
882,40,304000
883,29,370000
884,21,356000
885,36,344000
886,25,313000
887,34,278000
888,39,497000
889,28,494000
890,27,225000
891,23,333000
892,20,428000
893,38,362000
894,25,223000
895,28,205000
896,25,498000
897,27,423000
898,25,319000
899,28,473000
900,29,203000
901,36,445000
902,32,457000
903,35,268000
904,21,379000
905,33,399000
906,34,383000
907,22,420000
908,24,225000
909,38,394000
910,27,252000
911,33,351000
912,21,422000
913,28,351000
914,26,415000
915,37,320000
916,36,324000
917,36,428000
918,35,354000
919,25,251000
920,39,402000
921,20,213000
922,24,205000
923,20,234000
924,24,297000
925,26,462000
926,39,361000
927,29,316000
928,40,454000
929,37,252000
930,27,426000
931,25,235000
932,36,369000
933,32,499000
934,33,389000
935,37,247000
936,32,376000
937,21,381000
938,24,220000
939,38,357000
940,27,349000
941,36,379000
942,35,467000
943,36,445000
944,40,365000
945,30,352000
946,32,251000
947,29,385000
948,29,302000
949,37,230000
950,39,369000
951,27,203000
952,31,259000
953,32,458000
954,21,229000
955,32,307000
956,29,382000
957,27,383000
958,22,323000
959,24,468000
960,34,456000
961,30,463000
962,33,423000
963,38,468000
964,37,362000
965,27,379000
966,29,453000
967,26,430000
968,22,219000
969,34,372000
970,22,446000
971,23,470000
972,27,235000
973,37,481000
974,37,417000
975,29,285000
976,35,409000
977,39,296000
978,33,448000
979,40,499000
980,30,246000
981,24,330000
982,30,235000
983,23,415000
984,23,260000
985,24,200000
986,27,455000
987,34,349000
988,40,220000
989,24,202000
990,22,315000
991,36,492000
992,35,331000
993,27,484000
994,29,358000
995,20,323000
996,40,294000
997,34,244000
998,33,203000
999,34,352000
1000,38,311000
1001,31,222000
1002,26,389000
1003,32,392000
1004,30,274000
1005,35,378000
1006,26,311000
1007,35,476000
1008,21,454000
1009,25,326000
1010,25,265000
1011,29,273000
1012,26,252000
1013,39,341000
1014,21,470000
1015,34,366000
1016,40,492000
1017,37,374000
1018,38,491000
1019,20,407000
1020,39,253000
1021,40,433000
1022,40,409000
1023,24,205000
1024,20,242000
1025,38,434000
1026,34,358000
1027,38,491000
1028,30,407000
1029,39,238000
1030,38,384000
1031,29,393000
1032,29,354000
1033,34,333000
1034,27,223000
1035,30,492000
1036,32,353000
1037,35,342000
1038,30,332000
1039,34,209000
1040,25,382000
1041,27,406000
1042,35,446000
1043,20,272000
1044,21,319000
1045,33,463000
1046,20,235000
1047,30,282000
1048,36,415000
1049,36,201000
1050,36,224000
1051,28,270000
1052,30,401000
1053,39,368000
1054,28,406000
1055,32,248000
1056,26,396000
1057,26,338000
1058,20,320000
1059,31,472000
1060,40,442000
1061,30,399000
1062,39,443000
1063,28,473000
1064,33,290000
1065,22,297000
1066,21,491000
1067,36,203000
1068,40,419000
1069,22,201000
1070,26,301000
1071,35,378000
1072,40,295000
1073,25,453000
1074,27,268000
1075,27,225000
1076,25,299000
1077,23,413000
1078,27,496000
1079,28,241000
1080,21,386000
1081,30,221000
1082,22,330000
1083,40,425000
1084,20,290000
1085,23,260000
1086,36,201000
1087,36,400000
1088,20,366000
1089,30,302000
1090,23,328000
1091,22,441000
1092,23,311000
1093,28,405000
1094,24,338000
1095,28,474000
1096,33,280000
1097,29,204000
1098,31,348000
1099,36,382000
1100,40,288000
1101,34,490000
1102,24,215000
1103,32,258000
1104,37,424000
1105,26,309000
1106,26,363000
1107,35,414000
1108,26,378000
1109,25,440000
1110,28,336000
1111,20,294000
1112,27,346000
1113,26,401000
1114,29,278000
1115,27,279000
1116,32,434000
1117,40,266000
1118,33,402000
1119,29,450000
1120,38,210000
1121,39,361000
1122,22,204000
1123,35,452000
1124,38,274000
1125,34,413000
1126,37,336000
1127,35,298000
1128,34,233000
1129,29,230000
1130,23,372000
1131,40,425000
1132,25,369000
1133,25,437000
1134,25,410000
1135,29,303000
1136,30,261000
1137,21,313000
1138,34,357000
1139,37,463000
1140,24,294000
1141,38,449000
1142,36,267000
1143,27,217000
1144,36,455000
1145,21,210000
1146,33,327000
1147,23,259000
1148,23,232000
1149,34,355000
1150,26,239000
1151,35,464000
1152,33,336000
1153,24,417000
1154,28,265000
1155,37,239000
1156,38,345000
1157,40,286000
1158,20,352000
1159,24,353000
1160,25,210000
1161,21,304000
1162,31,417000
1163,32,351000
1164,23,420000
1165,37,418000
1166,39,278000
1167,23,411000
1168,36,350000
1169,26,316000
1170,21,202000
1171,27,322000
1172,29,229000
1173,27,212000
1174,29,244000
1175,34,390000
1176,38,220000
1177,30,375000
1178,22,279000
1179,29,445000
1180,36,384000
1181,26,396000
1182,21,482000
1183,40,326000
1184,35,376000
1185,40,455000
1186,40,370000
1187,33,410000
1188,28,258000
1189,21,249000
1190,25,212000
1191,28,441000
1192,37,430000
1193,25,336000
1194,28,269000
1195,37,361000
1196,30,326000
1197,28,305000
1198,23,299000
1199,20,365000
1200,37,406000
1201,24,390000
1202,27,206000
1203,32,412000
1204,24,315000
1205,32,250000
1206,35,356000
1207,38,252000
1208,22,482000
1209,35,217000
1210,21,319000
1211,20,206000
1212,20,228000
1213,33,381000
1214,32,263000
1215,36,222000
1216,24,278000
1217,33,257000
1218,20,254000
1219,23,356000
1220,24,498000
1221,29,225000
1222,39,315000
1223,35,256000
1224,35,302000
1225,25,334000
1226,34,371000
1227,40,434000
1228,33,320000
1229,21,311000
1230,25,324000
1231,36,336000
1232,37,470000
1233,27,464000
1234,21,480000
1235,25,345000
1236,29,273000
1237,28,345000
1238,36,251000
1239,25,216000
1240,34,215000
1241,35,301000
1242,36,438000
1243,31,297000
1244,29,328000
1245,36,272000
1246,34,307000
1247,37,271000
1248,27,350000
1249,34,238000
1250,32,213000
1251,37,366000
1252,31,255000
1253,27,235000
1254,27,398000
1255,36,314000
1256,36,390000
1257,39,377000
1258,38,262000
1259,21,310000
1260,38,444000
1261,27,426000
1262,38,324000
1263,40,460000
1264,32,378000
1265,31,342000
1266,35,221000
1267,31,436000
1268,22,384000
1269,37,246000
1270,34,496000
1271,27,341000
1272,25,217000
1273,21,410000
1274,38,404000
1275,27,203000
1276,31,216000
1277,21,307000
1278,29,275000
1279,24,301000
1280,23,445000
1281,38,331000
1282,21,262000
1283,39,275000
1284,29,493000
1285,35,235000
1286,33,464000
1287,36,201000
1288,35,301000
1289,29,323000
1290,29,351000
1291,31,411000
1292,29,395000
1293,21,436000
1294,38,245000
1295,29,465000
1296,29,354000
1297,31,209000
1298,30,405000
1299,34,336000
1300,20,396000
1301,35,215000
1302,23,446000
1303,22,472000
1304,27,318000
1305,22,499000
1306,27,356000
1307,28,474000
1308,23,252000
1309,26,355000
1310,26,382000
1311,29,239000
1312,24,452000
1313,40,340000
1314,23,225000
1315,40,376000
1316,36,325000
1317,28,214000
1318,30,328000
1319,40,345000
1320,22,261000
1321,37,383000
1322,21,362000
1323,29,422000
1324,31,417000
1325,39,311000
1326,25,474000
1327,27,358000
1328,20,359000
1329,23,396000
1330,34,203000
1331,29,308000
1332,40,336000
1333,39,200000
1334,37,417000
1335,37,484000
1336,40,497000
1337,40,323000
1338,40,291000
1339,27,453000
1340,38,500000
1341,27,257000
1342,36,443000
1343,24,206000
1344,40,225000
1345,29,343000
1346,25,268000
1347,32,310000
1348,36,297000
1349,27,275000
1350,38,266000
1351,25,352000
1352,39,274000
1353,28,328000
1354,33,466000
1355,27,284000
1356,33,242000
1357,23,221000
1358,29,225000
1359,40,392000
1360,27,314000
1361,20,219000
1362,21,253000
1363,22,321000
1364,31,342000
1365,24,218000
1366,32,491000
1367,33,237000
1368,35,280000
1369,31,293000
1370,40,456000
1371,33,212000
1372,37,250000
1373,21,455000
1374,28,409000
1375,20,306000
1376,37,490000
1377,28,379000
1378,28,311000
1379,38,231000
1380,27,349000
1381,39,348000
1382,30,398000
1383,37,458000
1384,25,443000
1385,24,403000
1386,34,224000
1387,40,403000
1388,23,200000
1389,24,384000
1390,36,291000
1391,34,341000
1392,24,328000
1393,40,281000
1394,38,236000
1395,21,260000
1396,31,205000
1397,20,389000
1398,35,439000
1399,31,216000
1400,25,416000
1401,30,341000
1402,31,364000
1403,20,261000
1404,38,361000
1405,25,259000
1406,29,472000
1407,20,217000
1408,30,256000
1409,23,449000
1410,22,347000
1411,36,390000
1412,38,355000
1413,31,437000
1414,32,230000
1415,25,216000
1416,35,325000
1417,39,243000
1418,37,414000
1419,33,392000
1420,23,311000
1421,29,481000
1422,21,458000
1423,24,484000
1424,25,482000
1425,37,221000
1426,29,372000
1427,33,484000
1428,22,352000
1429,36,326000
1430,30,452000
1431,36,211000
1432,38,215000
1433,38,354000
1434,25,367000
1435,36,435000
1436,24,249000
1437,20,331000
1438,22,396000
1439,36,279000
1440,21,385000
1441,23,332000
1442,24,230000
1443,29,433000
1444,31,346000
1445,21,213000
1446,26,333000
1447,36,373000
1448,36,384000
1449,33,423000
1450,40,225000
1451,29,387000
1452,27,416000
1453,40,447000
1454,34,385000
1455,33,413000
1456,28,388000
1457,27,419000
1458,38,454000
1459,23,492000
1460,35,450000
1461,32,280000
1462,27,436000
1463,24,345000
1464,26,312000
1465,34,287000
1466,23,467000
1467,29,357000
1468,37,323000
1469,35,411000
1470,32,328000
1471,32,383000
1472,36,459000
1473,36,435000
1474,21,307000
1475,24,363000
1476,26,477000
1477,20,268000
1478,26,367000
1479,32,309000
1480,34,399000
1481,26,284000
1482,24,220000
1483,35,303000
1484,34,287000
1485,20,401000
1486,20,359000
1487,39,214000
1488,29,439000
1489,30,430000
1490,32,412000
1491,21,229000
1492,24,418000
1493,21,470000
1494,40,463000
1495,26,450000
1496,28,325000
1497,28,251000
1498,23,452000
1499,29,219000
1500,31,315000
1501,38,309000
1502,34,359000
1503,36,479000
1504,30,451000
1505,20,218000
1506,35,234000
1507,28,318000
1508,24,218000
1509,32,234000
1510,24,343000
1511,33,492000
1512,24,241000
1513,24,216000
1514,24,239000
1515,24,429000
1516,22,277000
1517,32,398000
1518,29,495000
1519,28,283000
1520,38,374000
1521,24,368000
1522,30,319000
1523,39,430000
1524,35,272000
1525,28,261000
1526,36,294000
1527,39,323000
1528,31,491000
1529,37,340000
1530,30,320000
1531,28,429000
1532,31,416000
1533,34,308000
1534,22,205000
1535,27,228000
1536,37,234000
1537,37,329000
1538,23,488000
1539,24,320000
1540,37,416000
1541,34,343000
1542,26,418000
1543,31,492000
1544,26,442000
1545,39,278000
1546,39,386000
1547,35,225000
1548,39,273000
1549,37,315000
1550,21,338000
1551,32,326000
1552,29,381000
1553,30,245000
1554,38,454000
1555,25,372000
1556,36,416000
1557,38,353000
1558,21,343000
1559,35,314000
1560,20,439000
1561,32,482000
1562,23,236000
1563,22,469000
1564,35,280000
1565,25,349000
1566,36,231000
1567,20,396000
1568,40,226000
1569,35,467000
1570,28,452000
1571,21,452000
1572,31,356000
1573,39,335000
1574,35,347000
1575,31,429000
1576,39,249000
1577,23,431000
1578,24,270000
1579,38,380000
1580,25,415000
1581,30,368000
1582,31,396000
1583,37,262000
1584,32,352000
1585,23,377000
1586,20,458000
1587,34,444000
1588,35,251000
1589,25,470000
1590,25,320000
1591,37,429000
1592,24,204000
1593,32,265000
1594,40,314000
1595,32,463000
1596,40,489000
1597,37,376000
1598,39,228000
1599,23,284000
1600,38,336000
1601,21,248000
1602,29,364000
1603,28,499000
1604,28,490000
1605,26,471000
1606,32,232000
1607,22,376000
1608,31,359000
1609,27,278000
1610,34,493000
1611,28,263000
1612,37,355000
1613,38,372000
1614,21,333000
1615,37,499000
1616,34,414000
1617,35,319000
1618,38,487000
1619,39,236000
1620,33,448000
1621,24,277000
1622,33,417000
1623,40,456000
1624,30,418000
1625,26,297000
1626,37,311000
1627,39,392000
1628,28,360000
1629,26,449000
1630,31,469000
1631,35,295000
1632,37,450000
1633,24,363000
1634,37,242000
1635,29,477000
1636,36,495000
1637,29,215000
1638,36,357000
1639,26,244000
1640,39,256000
1641,29,291000
1642,34,265000
1643,22,387000
1644,32,384000
1645,22,350000
1646,26,390000
1647,22,236000
1648,28,371000
1649,23,412000
1650,27,313000
1651,30,260000
1652,26,239000
1653,29,327000
1654,34,482000
1655,32,283000
1656,33,291000
1657,24,473000
1658,38,227000
1659,40,335000
1660,31,470000
1661,38,452000
1662,29,254000
1663,29,395000
1664,34,439000
1665,20,371000
1666,34,375000
1667,38,264000
1668,20,220000
1669,37,442000
1670,22,204000
1671,27,464000
1672,34,400000
1673,21,313000
1674,27,478000
1675,32,474000
1676,26,400000
1677,35,471000
1678,35,348000
1679,36,412000
1680,25,277000
1681,35,234000
1682,37,325000
1683,23,327000
1684,35,438000
1685,30,418000
1686,30,255000
1687,31,312000
1688,35,414000
1689,23,413000
1690,23,475000
1691,39,206000
1692,39,275000
1693,22,420000
1694,38,484000
1695,35,262000
1696,23,328000
1697,35,277000
1698,21,482000
1699,22,431000
1700,36,350000
1701,35,487000
1702,21,271000
1703,25,278000
1704,21,201000
1705,35,229000
1706,39,491000
1707,33,278000
1708,32,379000
1709,34,253000
1710,37,305000
1711,24,263000
1712,33,451000
1713,30,451000
1714,24,378000
1715,21,205000
1716,22,217000
1717,27,494000
1718,38,252000
1719,30,408000
1720,21,333000
1721,27,203000
1722,21,461000
1723,29,388000
1724,23,314000
1725,32,253000
1726,40,328000
1727,23,290000
1728,25,365000
1729,29,217000
1730,36,366000
1731,27,446000
1732,36,471000
1733,20,450000
1734,36,203000
1735,40,223000
1736,21,422000
1737,22,284000
1738,29,279000
1739,22,270000
1740,38,223000
1741,35,359000
1742,34,465000
1743,21,257000
1744,38,387000
1745,30,494000
1746,24,287000
1747,29,371000
1748,35,255000
1749,22,479000
1750,24,398000
1751,30,360000
1752,40,411000
1753,40,488000
1754,29,355000
1755,25,206000
1756,33,341000
1757,23,367000
1758,40,279000
1759,40,243000
1760,37,289000
1761,34,463000
1762,33,390000
1763,28,279000
1764,22,233000
1765,30,337000
1766,37,330000
1767,38,495000
1768,39,416000
1769,35,207000
1770,31,411000
1771,24,314000
1772,29,222000
1773,23,380000
1774,24,382000
1775,25,433000
1776,21,436000
1777,22,205000
1778,24,333000
1779,26,204000
1780,36,301000
1781,28,224000
1782,39,324000
1783,28,305000
1784,32,291000
1785,31,244000
1786,37,221000
1787,27,224000
1788,34,207000
1789,38,495000
1790,25,299000
1791,29,212000
1792,31,488000
1793,35,423000
1794,28,328000
1795,36,348000
1796,39,260000
1797,33,232000
1798,33,215000
1799,20,301000
1800,29,434000
1801,25,498000
1802,36,241000
1803,34,435000
1804,28,210000
1805,28,401000
1806,29,353000
1807,24,253000
1808,37,389000
1809,40,353000
1810,22,230000
1811,22,373000
1812,32,257000
1813,20,287000
1814,24,397000
1815,21,345000
1816,30,238000
1817,30,417000
1818,28,263000
1819,35,460000
1820,35,361000
1821,40,331000
1822,24,418000
1823,38,422000
1824,31,487000
1825,25,489000
1826,33,246000
1827,39,476000
1828,20,254000
1829,39,237000
1830,20,327000
1831,27,475000
1832,24,317000
1833,23,226000
1834,26,337000
1835,22,222000
1836,26,458000
1837,33,331000
1838,35,285000
1839,27,320000
1840,35,433000
1841,26,239000
1842,32,236000
1843,40,352000
1844,39,349000
1845,25,210000
1846,35,447000
1847,27,331000
1848,31,428000
1849,39,252000
1850,33,310000
1851,24,336000
1852,24,337000
1853,25,338000
1854,30,219000
1855,22,443000
1856,36,256000
1857,36,416000
1858,31,468000
1859,24,271000
1860,30,264000
1861,21,463000
1862,32,454000
1863,20,442000
1864,40,206000
1865,24,389000
1866,27,337000
1867,25,394000
1868,37,298000
1869,36,431000
1870,20,308000
1871,20,299000
